,Year_text,Location,Subcategory_ID,volume_litres,RSP
214,2017,7.0,6,449370487.312,3702052.188345407
215,2017,7.0,7,1051498473.697,3960877694.925236
216,2017,7.0,8,22752745361.375,106939803177.19878
217,2017,7.0,9,3526080949.9490004,19892456680.767303
218,2017,7.0,10,9214066394.425,52620379170.24565
219,2017,7.0,11,10360652345.559,47377410238.41712
220,2017,7.0,12,2089203663.2989998,2371231156.3819666
221,2017,7.0,13,27779695272.31,134490524714.30943
222,2017,7.0,14,11728116261.53,
223,2017,7.0,15,1903548.51829,
224,2017,7.0,16,493947.414763,4814.487453611023
225,2017,7.0,17,1225436.29632,6345259.124536946
226,2018,1.0,1,39658938.701000005,454094848.12645
227,2018,1.0,2,126410938.993,1433660.5700079128
228,2018,1.0,3,128181913.313,350497419.21523434
229,2018,1.0,4,69875298279.88,156188666729.70157
230,2018,1.0,6,199599530.464,1947093.41967632
231,2018,1.0,7,321543627.05399996,1463922.2275191424
232,2018,1.0,8,70003480192.15,156540073793.96548
233,2018,1.0,9,166069877.7,1887794.33265
234,2018,1.0,10,6060235820.62,30832199766.58997
235,2018,1.0,11,17629393212.96,69366547178.90805
236,2018,1.0,12,46185669245.167,55991599020.81563
237,2018,1.0,13,70690693227.33,161842297661.52365
238,2018,1.0,14,5791647174.613,84414857472.5189
239,2018,1.0,15,12413443.587834999,211113544.03073353
240,2018,1.0,16,1046929.760761,5783611.973487702
241,2018,1.0,17,9117.436985,121565.82646666668
242,2018,2.0,1,237930608.72800002,2409297.340481009
243,2018,2.0,2,19482545.001000002,232765142.90668425
244,2018,2.0,3,28018000.0,192123428.57142857
245,2018,2.0,4,1814698003.3049998,13295787354.242363
246,2018,2.0,6,14655535.466000002,133853890.58946668
247,2018,2.0,7,7175932.7469999995,23578064.740142856
248,2018,2.0,8,1842716003.331,13487921261.49495
249,2018,2.0,9,257413153.72100002,2641239.246545825
250,2018,2.0,10,849909234.592,7559192.721782965
251,2018,2.0,11,933537897.8149999,5593231.344938694
252,2018,2.0,12,31250870.916,144157243.25767744
253,2018,2.0,13,2121960625.2580001,16286697786.794085
254,2018,2.0,14,662471318.021,9248579.941314325
255,2018,2.0,15,74526.423124,5305.287640787147
256,2018,2.0,16,317261.795003,3321.7410019399276
257,2018,2.0,17,111644.750015,921069.18762375
258,2018,3.0,1,67891336.084,265574932.32858825
259,2018,3.0,2,168642288.167,552827382.5119408
260,2018,3.0,3,897206006.463,2130489.179226522
261,2018,3.0,4,20806475737.491,42404969584.37798
262,2018,3.0,6,74996822.019,311986779.59904
263,2018,3.0,7,266497417.278,585092074.0238798
264,2018,3.0,8,21703681744.412,44533346977.7757
265,2018,3.0,9,236533624.245,818386379.2443038
266,2018,3.0,10,5320032700.227,16089098893.600037
267,2018,3.0,11,10534419882.496,20128802296.83686
268,2018,3.0,12,4952023154.08,6187028928.572892
269,2018,3.0,13,22281709607.656,46249397242.35212
270,2018,3.0,14,2751550175.643,19267850085.325676
271,2018,3.0,15,2520966.316381,36892507.06475376
272,2018,3.0,16,336589.614254,1049.7201322876974
273,2018,3.0,17,77203.252118,269710.06259405194
274,2018,4.0,1,51294496.492,438517656.284549
275,2018,4.0,2,19100037.661000002,164863482.9686316
276,2018,4.0,3,68564978.57200001,217619279.8154783
277,2018,4.0,4,32015532745.574,119265259369.26457
278,2018,4.0,6,57940021.25399999,271718720.3635861
279,2018,4.0,7,127684517.74000001,372080664.9767188
280,2018,4.0,8,32084097724.555,119486363942.03275
281,2018,4.0,9,70394534.14500001,603381721.2428572
282,2018,4.0,10,2771877219.799,16893251714.027527
283,2018,4.0,11,28510539665.89,100970369722.01064
284,2018,4.0,12,733115861.361,1402221.6065867965
285,2018,4.0,13,32340116796.711,120731436022.99675
286,2018,4.0,14,2046500087.704,18554467575.817554
287,2018,4.0,15,1683368.151364,44765790.24506666
288,2018,4.0,16,335600.332501,2642.8526184453754
289,2018,4.0,17,125073.150799,718420.178189456
290,2018,5.0,1,32266865.583000004,188559495.75065628
291,2018,5.0,2,3319468.966,44259586.21333334
292,2018,5.0,3,18104919.467,61355560.41594444
293,2018,5.0,4,12442914143.67,36552747785.386925
294,2018,5.0,5,1195644812.2,1670503746.8112042
295,2018,5.0,6,634889719.45,2191619.3150148033
296,2018,5.0,7,1466322608.166,2873632232.7837095
297,2018,5.0,8,12461019062.96,36614056012.45625
298,2018,5.0,9,1231231146.813,1897356202.6842084
299,2018,5.0,10,1907825202.609,8934181438.842463
300,2018,5.0,11,9689094760.08,26210256338.290512
301,2018,5.0,12,845994180.9430001,1408990.3084499848
302,2018,5.0,13,15793462537.899,43578276262.522934
303,2018,5.0,14,1102620571.253,16311387000.122576
304,2018,5.0,15,652609.1167349999,19767.160367383713
305,2018,5.0,16,307595.401381,1923.46994499937
306,2018,5.0,17,378746.69027200004,1579.9433174671033
307,2018,6.0,1,1754463149.995,14232757218.51702
308,2018,6.0,2,731496186.124,4862298.178353647
309,2018,6.0,3,377836618.102,1642289.8506391165
310,2018,6.0,4,23154374739.62,92643499379.28116
311,2018,6.0,6,240711243.08200002,2045546.165277743
312,2018,6.0,7,109169999.99400002,461718990.80031204
313,2018,6.0,8,23532211354.91,94285846829.75052
314,2018,6.0,9,2485959335.858,19087687772.669952
315,2018,6.0,10,5631753050.08,32324582581.12324
316,2018,6.0,11,11750477270.34,42164712608.454926
317,2018,6.0,12,5772144419.736,18153454201.570965
318,2018,6.0,13,26368051939.85,115883228267.0524
319,2018,6.0,14,3577760990.482,51673547989.13871
320,2018,6.0,15,2010611.08724,74628564.58719806
321,2018,6.0,16,890065.2901,6256.458938051236
322,2018,6.0,17,263176.988608,1709.1494165112697
323,2018,7.0,1,2197274176.874,12892608745.599789
324,2018,7.0,2,1360658560.805,7441132746.562538
325,2018,7.0,3,1144260527.125,4826098814.141719
326,2018,7.0,4,21556637534.765,102607274704.49051
327,2018,7.0,6,437669169.637,3594283.112292898
328,2018,7.0,7,1093061995.794,4069230796.7847996
329,2018,7.0,8,22700898062.531,107433517574.1137
330,2018,7.0,9,3557932737.95,20333615596.817116
331,2018,7.0,10,9207789813.630001,52792794897.99981
332,2018,7.0,11,10295601919.893,47463164833.69477
333,2018,7.0,12,2053245801.911,2351281480.9024653
334,2018,7.0,13,27789561965.867,135431865249.55852
335,2018,7.0,14,11611817905.632,
336,2018,7.0,15,1887651.126731,
337,2018,7.0,16,497609.327173,4788.24075464461
338,2018,7.0,17,1220641.383595,6378126.148514414
339,2019,1.0,1,51454454.923,617453459.076
340,2019,1.0,2,188703972.729,2172591.7706788573
341,2019,1.0,3,132348384.676,376992368.4710303
342,2019,1.0,4,68121979118.13,160806950706.80734
343,2019,1.0,6,244118211.805,2508214.577848914
344,2019,1.0,7,335498990.283,1551307.2714876626
345,2019,1.0,8,68254327499.36,161183773395.39575
346,2019,1.0,9,240158427.597,2788839.7404701626
347,2019,1.0,10,6986575563.246,35969814821.96725
348,2019,1.0,11,18311265689.14,71569038438.1176
349,2019,1.0,12,42824137860.673004,53267171479.18151
350,2019,1.0,13,69074103133.39,168026250877.1895
351,2019,1.0,14,5998179485.95,89861688967.65271
352,2019,1.0,15,12613778.651287,213981245.02105984
353,2019,1.0,16,1161332.878525,6304807.177728747
354,2019,1.0,17,11246.661817,150296.2988271818
355,2019,2.0,1,249718399.894,2604063.474094632
356,2019,2.0,2,20710550.078,237678217.56180954
357,2019,2.0,3,31858611.599000003,225997026.03040627
358,2019,2.0,4,1803841303.214,13266832822.086115
359,2019,2.0,6,14585122.033000002,132238439.76586668
360,2019,2.0,7,7617964.646,22853893.938
361,2019,2.0,8,1835699914.536,13492794306.461502
362,2019,2.0,9,270428949.972,2852524.6278528003
363,2019,2.0,10,885839327.879,7913564.6502960315
364,2019,2.0,11,888323141.125,5218898.454109375
365,2019,2.0,12,29678834.004,134544047.4848
366,2019,2.0,13,2128331951.285,16505574338.372347
367,2019,2.0,14,669495388.951,9577086.505621929
368,2019,2.0,15,74935.095131,5413.31127226344
369,2019,2.0,16,305442.372194,3184.6122740226883
370,2019,2.0,17,121453.488642,990699.1180963141
371,2019,3.0,1,70578756.559,273368423.2919014
372,2019,3.0,2,163811687.191,521400614.1079391
373,2019,3.0,3,952286652.708,2314696.758788143
374,2019,3.0,4,19363225026.907,38876451797.037476
375,2019,3.0,6,71121066.675,297506433.83767605
376,2019,3.0,7,261417914.814,566906282.700092
377,2019,3.0,8,20315511678.564,41189009944.87356
378,2019,3.0,9,234390443.749,798329844.734842
379,2019,3.0,10,4933459672.716,14497350783.638988
380,2019,3.0,11,9859736001.564,18823495993.24957
381,2019,3.0,12,4570029352.563,5557035691.945863
382,2019,3.0,13,20882441104.477,42851905170.38329
383,2019,3.0,14,2673930267.993,18572515657.230362
384,2019,3.0,15,2288023.844594,34138355.77218093
385,2019,3.0,16,271159.312624,837492.0467390702
386,2019,3.0,17,98914.449657,339706.1907412121
387,2019,4.0,1,54432427.241,473763718.5790741
388,2019,4.0,2,20506710.447,173818783.78885716
389,2019,4.0,3,74206926.279,241673908.55728376
390,2019,4.0,4,32022976408.95,128784905125.27325
391,2019,4.0,6,58618217.741000004,287129914.0194746
392,2019,4.0,7,158756911.421,477269205.4040126
393,2019,4.0,8,32097183332.707,129026736974.97752
394,2019,4.0,9,74939137.695,647474149.6848
395,2019,4.0,10,2901060491.2,18463384987.59931
396,2019,4.0,11,28361676288.690002,108831757828.3266
397,2019,4.0,12,760239623.719,1489469.4733126196
398,2019,4.0,13,32389497597.54,130443003986.56073
399,2019,4.0,14,2102887333.62,24045711703.071865
400,2019,4.0,15,1649699.2192179998,58113404.49565274
401,2019,4.0,16,377454.19413,4025.844335800345
402,2019,4.0,17,123546.613128,1298.235781498258
403,2019,5.0,1,31285443.381999996,201841570.20645157
404,2019,5.0,2,5313499.6899999995,54197696.83799999
405,2019,5.0,3,30354921.262000002,103206732.2908
406,2019,5.0,4,12799058774.65,37109170409.288765
407,2019,5.0,5,1271094258.0,1887139940.870181
408,2019,5.0,6,652395295.99,2204335.6396717327
